,0
0,9.526371
1,69.83332
2,1.770031252
3,14.29414
4,52.54837
5,6.5443199
6,69.29186
7,3.992629
8,64.56659
9,24.34252
10,67.8576
11,1.156719701
12,18.2103
13,60.31971
14,13.99579075
15,8.907101
16,3.27055489
17,56.63276
18,53.45259
19,10.55165
20,5.493065
21,42.59461
22,62.37954
23,13.13159395
24,17.77264
25,7.077999389
26,4.939997
27,66.16108
28,51.04299
29,55.67036
30,58.36624
31,55.04679
32,12.3548
33,7.355635728
34,71.14976
35,3.847102787
36,1.522691557
37,14.89720747
38,9.660168743
39,69.08879
40,19.22796
41,14.34892
42,7.827055149
43,55.47116
44,50.80222
45,54.23761
46,6.418936
47,65.06621
48,54.64758
49,6.072026
50,7.276075
51,2.440105
52,71.07066
53,43.52477
54,66.969
55,44.59308
56,9.386672
57,11.53737155
58,2.625315241
59,47.16189
60,20.52789
61,6.765777
62,54.12731
63,2.60003549
64,3.032321354
65,3.932102
66,65.62879
67,60.50817
68,69.8568
69,9.2766412
70,66.99456
71,15.08846657
72,54.42917
73,38.14529
74,70.89738
75,19.14395
76,47.56294
77,64.44587
78,4.534691
79,59.78823
80,60.7205
81,59.27489
82,69.83213
83,11.32083915
84,11.00328
85,10.07068
86,10.7468963
87,7.773669
88,62.53352
89,65.66053
90,41.71275
91,7.874579
92,3.644232332
93,47.34761
94,1.611266
95,63.88775
96,13.67931764
97,48.82626
98,67.20269
99,61.50738
100,4.072959
101,3.613493
102,9.984220981
103,3.218751358
104,43.34462
105,2.733109234
106,67.11209
107,6.029814
108,6.013261132
109,16.42222
110,14.36866
111,7.539374
112,7.226076469
113,50.09435
114,66.66853
115,55.88547
116,68.23146
117,4.984488
118,61.16662
119,9.453234
120,6.398242
121,10.86612
122,48.06765
123,2.1782
124,11.84987964
125,8.450712
126,64.08859
127,71.39672
128,59.3991
129,11.77389421
130,9.986348
131,53.77815
132,6.311709178
133,11.14615
134,3.555031
135,41.74273
136,2.958575
137,59.67215
138,11.92905011
139,56.56173
140,60.74786
141,50.46332
142,11.17891
143,1.115115
144,3.294082
145,70.52235
146,70.69978
147,1.078815111
148,67.19978
149,60.6238
150,68.52821
151,64.30983
152,60.34404
153,70.19945
154,56.53633
155,25.55038197
156,7.649477
157,66.54637
158,6.460792
159,69.82128
160,10.27819073
161,64.62702
162,63.99811
163,21.51433
164,10.5903229
165,71.53606
166,51.8548
167,59.1268
168,9.49754
169,50.18296
170,14.28503
171,13.84934
172,51.57289
173,4.452382314
174,16.59389
175,62.04664
176,67.70921
177,8.052952
178,14.34935
179,58.53134
180,57.46466
181,17.28022598
182,10.57654
183,4.499945782
184,50.02343
185,55.30151
186,54.71778
187,65.49323
188,58.69071
189,59.6057
190,70.42914
191,1.474087
192,70.95851
193,12.52502
194,63.94696
195,9.119628
196,9.759887
197,27.44938
198,53.77863
199,7.756546
200,68.21396
201,69.93494
202,1.128335443
203,5.969967132
204,5.294527
205,3.511593
206,52.75072
207,65.73734
208,1.556533
209,65.03219
210,67.50861
211,62.50474
212,63.52166
213,44.09777
214,63.40014
215,47.1164
216,16.81789
217,57.51601
218,3.80496
219,61.62341
220,4.99913
221,5.585004
222,43.10629
223,71.48476
224,6.339408608
225,52.38371
226,6.799748
227,14.7804282
228,22.8577804
229,43.49892
230,66.88131
231,3.543665
232,70.05743
233,6.035737465
234,5.364231
235,56.21975
236,70.66353
237,63.70616
238,6.57513059
239,55.17028
240,15.28108311
241,64.1725
242,5.461422
243,17.55759
244,10.6052
245,55.22194
246,58.51566
247,21.1875693
248,7.311512
249,20.17588966
250,3.761061
251,9.881597
252,11.13472066
253,16.37219797
254,59.52291
255,2.057502
256,60.57969
257,62.25655
258,4.736816
259,60.06677
260,62.64968
261,10.49454
262,7.235576
263,59.29358
264,37.5471
265,8.442986
266,59.79068
267,63.71215
268,70.50313
269,3.259826777
270,8.853636698
271,15.13792
272,67.32648
273,45.30473
274,71.20584
275,50.46018
276,65.07998
277,5.875553
278,48.38976
279,9.176772
280,58.8386
281,51.41313
282,67.23058
283,54.22191
284,1.113741
285,66.85703
286,49.53164
287,5.379951
288,4.891651665
289,21.56869
290,58.36296
291,61.76369
292,2.977062
293,19.77964
294,49.30109
295,2.201845
296,17.92442
297,14.71424943
298,1.717359
299,2.593102097
300,9.561875
301,3.109148
302,2.465822
303,1.52349
304,62.96706
305,7.277274
306,65.14504
307,8.802527803
308,56.24647
309,66.36071
310,3.409799
311,16.60351
312,8.013365588
313,17.96501147
314,7.606099
315,58.82987
316,14.10031907
317,17.37839741
318,12.359
319,43.93445
320,17.74303
321,56.50636
322,5.695207
323,2.942297
324,58.45536
325,6.207517
326,18.44164
327,14.1687
328,3.459881
329,3.312263064
330,6.830372
331,60.7303
332,67.76809
333,11.38490458
334,67.675
335,51.67996
336,62.43485
337,9.430096
338,47.1766
339,54.09422
340,47.02878
341,18.4468
342,9.758067608
343,7.663625954
344,43.04477
345,10.30326
346,61.5999
347,43.51717
348,63.75133
349,2.398402
350,61.85982
351,9.584536
352,8.596064
353,14.17192333
354,52.69603
355,65.50792
356,9.031197
357,71.67026
358,4.043292
359,47.91787
360,56.98256
361,64.8122
362,18.47081
363,24.39432985
364,54.37108
365,57.24323
366,66.42406
367,66.78251
368,6.434280902
369,3.226996711
370,2.292165
371,17.34018575
372,68.14379
373,64.2498
374,63.26277
375,3.685081574
376,10.22422
377,60.16962
378,5.833919
379,17.02059
380,3.319853958
381,63.84542
382,40.35625
383,13.21976
