,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,2.0,24.0,36024.36,8.466816,13.0,1.0,0.0,139.9816,1297.915797,3.0,2.0,3.0,5.0,2.0,2.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,0.0,71.0,29957.52,12.40857,16.0,1.0,0.0,129.9915,6398.841901,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2,1.0,30.0,8228.16,13.57970425,18.0,1.0,0.0,230.134352,907.2442013,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,0.0,1.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
3,4.0,67.0,40978.57,8.762474,14.0,1.0,0.0,242.6326,1838.646452,4.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
4,1.0,51.0,8324.79,10.71946,11.0,1.0,0.0,79.97886,4411.074803,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,1.0,54.0,44057.85,6.666141762,13.0,1.0,0.0,242.628057,1185.892988,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
6,1.0,82.0,34832.5,9.8601,14.0,1.0,1.0,127.4738,6273.992363,4.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
7,6.0,21.0,48268.53,9.994249,10.0,1.0,0.0,152.4742,1261.333501,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
8,3.0,36.0,14718.58,7.44039,15.0,1.0,1.0,149.9707,5682.278193,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9,8.0,37.0,53358.81,13.19778,9.0,0.0,2.0,202.6362,3276.40737,2.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,3.0,60.0,52354.35,4.939062,13.0,1.0,0.0,130.0064,6017.570291,3.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
11,1.0,55.0,54981.51,15.09456492,12.0,0.0,1.0,137.461553,358.4232611,3.0,3.0,2.0,6.0,4.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
